start_node,end_node,relationship
苏里格气田,井,包含
井,油管压力,具有
井,套管压力,具有
井,外输压力,受限于
井,外输瞬时气量,产生
井,临界携液流量,依赖
井,井筒积液,发生
井,油嘴,使用
井,集气管网,连接
集气管网,集气站,输气至
井,地面设备,使用
地面设备,分离器,包含
井,井下工具,使用
井下工具,封隔器,包含
地层压力,外输瞬时气量,驱动
井,井筒流态,具有
油管压力,井筒流态,体现
套管压力,井筒流态,体现
井,油套压差,具有
油套压差,井筒积液,引起
外输压力,外输瞬时气量,阻力
外输瞬时气量,地层压力,依赖
外输瞬时气量,地层渗透率,依赖
外输瞬时气量,油管压力,依赖
井,外输温度,具有
焦耳-汤姆逊效应,外输温度,影响
环境热交换,外输温度,影响
井筒积液,井筒流态,影响
井筒积液,油管压力,影响
油嘴,油管压力,控制
油嘴,焦耳-汤姆逊效应,引发
油嘴,外输瞬时气量,控制
封隔器,井筒积液,隔离
外输瞬时气量,集气管网,输送至
集气站,外输压力,控制
封隔器,套管压力,影响
